country,years,role,level,mode,value
Spain,14.0,None of these describe my role,"Data visualization is an important secondary part of my job, but not the focus","Business Intelligence Tools (like Tableau), Interactive Notebooks, General purpose charting libraries (plotly, highcharts), Completely custom (matplotlib, ggplot2, Processing, D3, custom code), Hand-crafted with pen & paper or other physical means, Love the pen & paper question. That is my favourite medium, although it is hard to automate.",7
Germany,3.0,Designer,"Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role","General purpose charting libraries (plotly, highcharts), Hand-crafted in a graphics editor (Illustrator)",5
United Kingdom,4.0,None of these describe my role,"Data visualization is an important secondary part of my job, but not the focus",,
Australia,2.0,Analyst,"Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role","Business Intelligence Tools (like Tableau), Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",3
Portugal,3.0,Analyst,"Data visualization is an important secondary part of my job, but not the focus",,
Canada,1.0,Analyst,"Data visualization is an important secondary part of my job, but not the focus",Business Intelligence Tools (like Tableau),4
United Kingdom,3.0,Analyst,Data visualization is the focus of my job,"Business Intelligence Tools (like Tableau), General purpose charting libraries (plotly, highcharts), Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",6
USA,0.0,Designer,"Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role",Mostly Excel,6
USA,3.0,Analyst,"Data visualization is an important secondary part of my job, but not the focus",Business Intelligence Tools (like Tableau),
USA,5.0,Developer,Data visualization is the focus of my job,Business Intelligence Tools (like Tableau),7
USA,15.0,"Leadership (Manager, Director, VP, etc)",Data visualization is the focus of my job,Business Intelligence Tools (like Tableau),
South Africa,0.0,Engineer,"Data visualization is an important secondary part of my job, but not the focus","Interactive Notebooks, Completely custom (matplotlib, ggplot2, Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator)",1
Sweden,2.0,Developer,"Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role","Business Intelligence Tools (like Tableau), Interactive Notebooks, General purpose charting libraries (plotly, highcharts), Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",
Canada,7.0,Engineer,Data visualization is the focus of my job,"Completely custom (matplotlib, ggplot2, Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator)",7
Turkey,8.0,Designer,"Data visualization is an important secondary part of my job, but not the focus",Hand-crafted in a graphics editor (Illustrator),
USA,5.0,"Leadership (Manager, Director, VP, etc)",Data visualization is the focus of my job,"Business Intelligence Tools (like Tableau), PowerPoint ThinkCell",4
USA,30.0,Scientist,"Data visualization is an important secondary part of my job, but not the focus","Interactive Notebooks, Mathematica",7
Mexico,4.0,Analyst,"Data visualization is an important secondary part of my job, but not the focus",,
USA,3.0,Analyst,"Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role","Business Intelligence Tools (like Tableau), Interactive Notebooks",5
USA,40.0,Analyst,"Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role","Business Intelligence Tools (like Tableau), Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",4
USA,3.0,Analyst,"Data visualization is an important secondary part of my job, but not the focus","Business Intelligence Tools (like Tableau), Interactive Notebooks, Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",7
France,,Analyst,"Data visualization is an important secondary part of my job, but not the focus",Business Intelligence Tools (like Tableau),6
Spain,3.0,Analyst,Data visualization is the focus of my job,Business Intelligence Tools (like Tableau),3
Argentina,2.0,Analyst,"Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role","Business Intelligence Tools (like Tableau), Interactive Notebooks, General purpose charting libraries (plotly, highcharts), Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",7
USA,5.0,Academic,Data visualization is the focus of my job,"Completely custom (matplotlib, ggplot2, Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator), Hand-crafted with pen & paper or other physical means",6
USA,2.0,Developer,"Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role",Business Intelligence Tools (like Tableau),2
USA,1.0,Developer,Data visualization is the focus of my job,Business Intelligence Tools (like Tableau),6
Croatia,13.0,Engineer,"Data visualization is an important secondary part of my job, but not the focus","Business Intelligence Tools (like Tableau), Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",7
Malaysia,4.0,None of these describe my role,Data visualization is the focus of my job,,
Canada,4.0,Analyst,Data visualization is the focus of my job,,
Finland,3.0,Analyst,"Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role","General purpose charting libraries (plotly, highcharts), Completely custom (matplotlib, ggplot2, Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator)",3
Brazil,1.0,"Leadership (Manager, Director, VP, etc)","Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role","General purpose charting libraries (plotly, highcharts), Completely custom (matplotlib, ggplot2, Processing, D3, custom code), Hand-crafted with pen & paper or other physical means",7
Mexico,4.0,Analyst,"Data visualization is an important secondary part of my job, but not the focus",Business Intelligence Tools (like Tableau),2
United Kingdom,3.0,Scientist,"Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role","General purpose charting libraries (plotly, highcharts), Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",7
Not specified,4.0,Engineer,"Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role","Business Intelligence Tools (like Tableau), Interactive Notebooks, Completely custom (matplotlib, ggplot2, Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator)",5
United Kingdom,,Analyst,"Data visualization is an important secondary part of my job, but not the focus","Business Intelligence Tools (like Tableau), Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",7
USA,6.0,Designer,Data visualization is the focus of my job,"Business Intelligence Tools (like Tableau), General purpose charting libraries (plotly, highcharts), Completely custom (matplotlib, ggplot2, Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator), Hand-crafted with pen & paper or other physical means",7
Belgium,5.0,None of these describe my role,Data visualization is the focus of my job,,
United Kingdom,8.0,Developer,Data visualization is the focus of my job,"Business Intelligence Tools (like Tableau), Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",
United Kingdom,3.0,Analyst,Data visualization is the focus of my job,Business Intelligence Tools (like Tableau),7
United Kingdom,7.0,Analyst,Data visualization is the focus of my job,Business Intelligence Tools (like Tableau),3
USA,5.0,Designer,Data visualization is the focus of my job,Business Intelligence Tools (like Tableau),7
Belarus,6.0,Designer,Data visualization is the focus of my job,"Completely custom (matplotlib, ggplot2, Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator), Hand-crafted with pen & paper or other physical means",7
USA,5.0,Designer,Data visualization is the focus of my job,"Business Intelligence Tools (like Tableau), Interactive Notebooks, General purpose charting libraries (plotly, highcharts), Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",6
Colombia,4.0,Designer,Data visualization is the focus of my job,"Business Intelligence Tools (like Tableau), Hand-crafted in a graphics editor (Illustrator), Hand-crafted with pen & paper or other physical means",6
Georgia,3.0,Developer,Data visualization is the focus of my job,"Interactive Notebooks, Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",5
Germany,4.0,Designer,Data visualization is the focus of my job,"Business Intelligence Tools (like Tableau), General purpose charting libraries (plotly, highcharts), Completely custom (matplotlib, ggplot2, Processing, D3, custom code), Hand-crafted with pen & paper or other physical means",2
Netherlands,1.0,Developer,Data visualization is the focus of my job,,
France,1.0,Developer,Data visualization is the focus of my job,"Interactive Notebooks, Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",4
Not specified,14.0,Designer,Data visualization is the focus of my job,,
Chile,8.0,Designer,Data visualization is the focus of my job,Business Intelligence Tools (like Tableau),7
Colombia,2.5,Designer,Data visualization is the focus of my job,,
Belarus,14.0,Analyst,Data visualization is the focus of my job,"Business Intelligence Tools (like Tableau), Hand-crafted in a graphics editor (Illustrator), Hand-crafted with pen & paper or other physical means",5
Mexico,2.0,Academic,Data visualization is the focus of my job,,
USA,5.0,Analyst,Data visualization is the focus of my job,"Business Intelligence Tools (like Tableau), Hand-crafted in a graphics editor (Illustrator)",3
Mexico,8.0,Developer,Data visualization is the focus of my job,"Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",4
United Kingdom,6.0,Designer,"Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role","Hand-crafted in a graphics editor (Illustrator), Hand-crafted with pen & paper or other physical means",6
Netherlands,15.0,Designer,"Data visualization is an important secondary part of my job, but not the focus","General purpose charting libraries (plotly, highcharts), Completely custom (matplotlib, ggplot2, Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator)",6
Spain,5.0,Developer,"Data visualization is an important secondary part of my job, but not the focus","Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",6
Canada,5.0,Analyst,"Data visualization is an important secondary part of my job, but not the focus","Business Intelligence Tools (like Tableau), General purpose charting libraries (plotly, highcharts), Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",7
USA,10.0,Analyst,"Data visualization is an important secondary part of my job, but not the focus","Business Intelligence Tools (like Tableau), Hand-crafted in a graphics editor (Illustrator), Hand-crafted with pen & paper or other physical means",5
India,3.0,"Leadership (Manager, Director, VP, etc)","Data visualization is an important secondary part of my job, but not the focus","Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",3
USA,5.0,Scientist,"Data visualization is an important secondary part of my job, but not the focus","Interactive Notebooks, General purpose charting libraries (plotly, highcharts), Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",4
USA,6.0,"Leadership (Manager, Director, VP, etc)","Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role","General purpose charting libraries (plotly, highcharts), Completely custom (matplotlib, ggplot2, Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator), GIS software",7
USA,3.0,"Leadership (Manager, Director, VP, etc)","Data visualization is an important secondary part of my job, but not the focus","Interactive Notebooks, General purpose charting libraries (plotly, highcharts), Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",7
Belgium,6.0,Designer,Data visualization is the focus of my job,,
USA,4.0,Developer,"Data visualization is an important secondary part of my job, but not the focus","Interactive Notebooks, Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",7
Bermuda,20.0,Analyst,"Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role","Business Intelligence Tools (like Tableau), GIS",5
Colombia,1.0,Designer,"Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role","General purpose charting libraries (plotly, highcharts), Hand-crafted in a graphics editor (Illustrator), Hand-crafted with pen & paper or other physical means",4
Australia,1.5,Analyst,"Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role",Business Intelligence Tools (like Tableau),6
Canada,7.0,None of these describe my role,Data visualization is the focus of my job,"Business Intelligence Tools (like Tableau), Interactive Notebooks, Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",7
Kenya,17.0,"Leadership (Manager, Director, VP, etc)","Data visualization is an important secondary part of my job, but not the focus","Business Intelligence Tools (like Tableau), Completely custom (matplotlib, ggplot2, Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator)",6
Poland,2.0,Developer,Data visualization is the focus of my job,"Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",1
Canada,1.0,Designer,"Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role","General purpose charting libraries (plotly, highcharts), Hand-crafted in a graphics editor (Illustrator), Hand-crafted with pen & paper or other physical means",3
Romania,5.0,Designer,Data visualization is the focus of my job,"Business Intelligence Tools (like Tableau), General purpose charting libraries (plotly, highcharts), Hand-crafted in a graphics editor (Illustrator)",7
Denmark,15.0,Designer,Data visualization is the focus of my job,,
Finland,10.0,Designer,Data visualization is the focus of my job,"General purpose charting libraries (plotly, highcharts), Completely custom (matplotlib, ggplot2, Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator), GIS software",7
Turkey,7.0,Designer,"Data visualization is an important secondary part of my job, but not the focus",,
Canada,6.5,Designer,Data visualization is the focus of my job,"Business Intelligence Tools (like Tableau), Hand-crafted in a graphics editor (Illustrator), Hand-crafted with pen & paper or other physical means",7
USA,1.0,Analyst,Data visualization is the focus of my job,"Business Intelligence Tools (like Tableau), Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",3
USA,3.0,Academic,"Data visualization is an important secondary part of my job, but not the focus","Business Intelligence Tools (like Tableau), Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",4
USA,8.0,Designer,"Data visualization is an important secondary part of my job, but not the focus",,
Norway,5.0,Designer,"Data visualization is an important secondary part of my job, but not the focus","Hand-crafted in a graphics editor (Illustrator), Hand-crafted with pen & paper or other physical means",4
USA,3.0,Analyst,"Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role","Business Intelligence Tools (like Tableau), General purpose charting libraries (plotly, highcharts)",6
Portugal,2.0,Engineer,"Data visualization is an important secondary part of my job, but not the focus","Business Intelligence Tools (like Tableau), Interactive Notebooks, General purpose charting libraries (plotly, highcharts), Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",7
USA,1.0,"Leadership (Manager, Director, VP, etc)","Data visualization is an important secondary part of my job, but not the focus",Business Intelligence Tools (like Tableau),6
USA,5.0,Analyst,"Data visualization is an important secondary part of my job, but not the focus","Business Intelligence Tools (like Tableau), Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",1
France,3.0,Engineer,"Data visualization is an important secondary part of my job, but not the focus",Business Intelligence Tools (like Tableau),5
United Kingdom,1.0,Developer,"Data visualization is an important secondary part of my job, but not the focus","Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",3
Canada,7.0,"Leadership (Manager, Director, VP, etc)","Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role","Business Intelligence Tools (like Tableau), Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",7
USA,4.0,Analyst,"Data visualization is an important secondary part of my job, but not the focus",Business Intelligence Tools (like Tableau),4
USA,5.0,Designer,Data visualization is the focus of my job,"Business Intelligence Tools (like Tableau), General purpose charting libraries (plotly, highcharts)",4
United Kingdom,4.0,None of these describe my role,"Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role",Business Intelligence Tools (like Tableau),7
USA,3.0,Developer,"Data visualization is an important secondary part of my job, but not the focus","Business Intelligence Tools (like Tableau), Interactive Notebooks, Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",7
South Africa,3.0,Developer,Data visualization is the focus of my job,"Interactive Notebooks, General purpose charting libraries (plotly, highcharts), Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",6
Canada,6.0,None of these describe my role,Data visualization is the focus of my job,"Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",7
India,1.0,Student,"Data visualization is an important secondary part of my job, but not the focus",,
Uruguay,2.0,Analyst,"Data visualization is an important secondary part of my job, but not the focus",,
Canada,10.0,"Leadership (Manager, Director, VP, etc)","Data visualization is an important secondary part of my job, but not the focus",,
USA,12.0,"Leadership (Manager, Director, VP, etc)",,"Business Intelligence Tools (like Tableau), Interactive Notebooks, Completely custom (matplotlib, ggplot2, Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator)",7
Not specified,,Academic,"Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role","Interactive Notebooks, Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",4
USA,15.0,Designer,Data visualization is the focus of my job,"Business Intelligence Tools (like Tableau), General purpose charting libraries (plotly, highcharts), Hand-crafted in a graphics editor (Illustrator), Hand-crafted with pen & paper or other physical means, Presentations (PowerPoint, Keynote, etc.)",7
USA,,None of these describe my role,"Data visualization is an important secondary part of my job, but not the focus",,
USA,10.0,"Leadership (Manager, Director, VP, etc)","Data visualization is an important secondary part of my job, but not the focus","Interactive Notebooks, Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",6
USA,13.0,"Leadership (Manager, Director, VP, etc)",Data visualization is the focus of my job,"Business Intelligence Tools (like Tableau), Hand-crafted in a graphics editor (Illustrator), Hand-crafted with pen & paper or other physical means",5
USA,13.0,None of these describe my role,Data visualization is the focus of my job,"Business Intelligence Tools (like Tableau), Hand-crafted in a graphics editor (Illustrator), Hand-crafted with pen & paper or other physical means",7
Australia,20.0,"Leadership (Manager, Director, VP, etc)",Data visualization is the focus of my job,Business Intelligence Tools (like Tableau),7
USA,6.0,Scientist,"Data visualization is an important secondary part of my job, but not the focus","Business Intelligence Tools (like Tableau), Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",
United Kingdom,12.0,Scientist,"Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role","Interactive Notebooks, General purpose charting libraries (plotly, highcharts), Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",6
USA,20.0,Designer,Data visualization is the focus of my job,"Completely custom (matplotlib, ggplot2, Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator), Hand-crafted with pen & paper or other physical means",6
USA,10.0,Academic,"Data visualization is an important secondary part of my job, but not the focus","Business Intelligence Tools (like Tableau), General purpose charting libraries (plotly, highcharts)",4
USA,,Academic,"Data visualization is an important secondary part of my job, but not the focus","Business Intelligence Tools (like Tableau), General purpose charting libraries (plotly, highcharts), Completely custom (matplotlib, ggplot2, Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator)",5
Brazil,2.0,Academic,"Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role","Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",4
USA,4.0,Academic,Data visualization is the focus of my job,"Business Intelligence Tools (like Tableau), Interactive Notebooks, General purpose charting libraries (plotly, highcharts), Completely custom (matplotlib, ggplot2, Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator), Hand-crafted with pen & paper or other physical means",7
India,12.0,Scientist,"Data visualization is an important secondary part of my job, but not the focus","Interactive Notebooks, Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",6
United Kingdom,7.0,Academic,"Data visualization is an important secondary part of my job, but not the focus","Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",5
Nigeria,3.0,Analyst,"Data visualization is an important secondary part of my job, but not the focus",,
Spain,4.0,Academic,"Data visualization is an important secondary part of my job, but not the focus","Business Intelligence Tools (like Tableau), Hand-crafted in a graphics editor (Illustrator)",6
Colombia,4.0,Engineer,"Data visualization is an important secondary part of my job, but not the focus","Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",3
Spain,15.0,Scientist,"Data visualization is an important secondary part of my job, but not the focus","Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",6
Colombia,6.0,None of these describe my role,Data visualization is the focus of my job,"Business Intelligence Tools (like Tableau), Interactive Notebooks, General purpose charting libraries (plotly, highcharts), Completely custom (matplotlib, ggplot2, Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator), Hand-crafted with pen & paper or other physical means",3
Argentina,1.0,Analyst,"Data visualization is an important secondary part of my job, but not the focus",Business Intelligence Tools (like Tableau),7
Saudi Arabia,10.0,Analyst,Data visualization is the focus of my job,Business Intelligence Tools (like Tableau),4
USA,20.0,"Leadership (Manager, Director, VP, etc)","Data visualization is an important secondary part of my job, but not the focus",Business Intelligence Tools (like Tableau),6
USA,3.0,Developer,"Data visualization is an important secondary part of my job, but not the focus","Business Intelligence Tools (like Tableau), General purpose charting libraries (plotly, highcharts), Completely custom (matplotlib, ggplot2, Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator)",5
USA,6.0,Analyst,Data visualization is the focus of my job,,
USA,7.0,Analyst,Data visualization is the focus of my job,Business Intelligence Tools (like Tableau),7
Not specified,2.0,Analyst,"Data visualization is an important secondary part of my job, but not the focus","Completely custom (matplotlib, ggplot2, Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator)",4
Not specified,6.0,Analyst,"Data visualization is an important secondary part of my job, but not the focus","Business Intelligence Tools (like Tableau), Interactive Notebooks, General purpose charting libraries (plotly, highcharts), Completely custom (matplotlib, ggplot2, Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator), Hand-crafted with pen & paper or other physical means, Excel",3
USA,7.0,Developer,Data visualization is the focus of my job,"Interactive Notebooks, Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",3
USA,7.0,Designer,Data visualization is the focus of my job,"Interactive Notebooks, Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",7
USA,15.0,Analyst,"Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role","Business Intelligence Tools (like Tableau), General purpose charting libraries (plotly, highcharts), Hand-crafted in a graphics editor (Illustrator)",2
United Kingdom,1.0,Designer,"Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role","General purpose charting libraries (plotly, highcharts), Completely custom (matplotlib, ggplot2, Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator), Hand-crafted with pen & paper or other physical means",2
USA,1.0,Analyst,"Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role","Business Intelligence Tools (like Tableau), Completely custom (matplotlib, ggplot2, Processing, D3, custom code), Simple charts in Excel used most widely",4
Switzerland,4.0,Designer,"Data visualization is an important secondary part of my job, but not the focus","General purpose charting libraries (plotly, highcharts), Custom coding (expressions) in Adobe After Effects",4
USA,8.0,Designer,"Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role","Hand-crafted in a graphics editor (Illustrator), Excel",3
United Kingdom,2.0,Analyst,"Data visualization is an important secondary part of my job, but not the focus","Business Intelligence Tools (like Tableau), Interactive Notebooks",4
Kenya,3.0,Developer,"Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role","Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",5
USA,5.0,Engineer,"Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role","Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",4
Panama,20.0,Analyst,"Data visualization is an important secondary part of my job, but not the focus",Business Intelligence Tools (like Tableau),6
USA,4.0,Developer,Data visualization is the focus of my job,"Business Intelligence Tools (like Tableau), Interactive Notebooks, Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",5
Brazil,3.0,"Leadership (Manager, Director, VP, etc)","Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role","Business Intelligence Tools (like Tableau), Interactive Notebooks, General purpose charting libraries (plotly, highcharts), Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",5
United Kingdom,5.0,Developer,Data visualization is the focus of my job,"Interactive Notebooks, Completely custom (matplotlib, ggplot2, Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator), Hand-crafted with pen & paper or other physical means",7
India,5.0,Developer,Data visualization is the focus of my job,Business Intelligence Tools (like Tableau),6
Germany,7.5,Scientist,"Data visualization is an important secondary part of my job, but not the focus","Completely custom (matplotlib, ggplot2, Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator)",7
Italy,4.0,Designer,"Data visualization is an important secondary part of my job, but not the focus","Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",5
Israel,5.0,Analyst,"Data visualization is an important secondary part of my job, but not the focus","Hand-crafted in a graphics editor (Illustrator), Hand-crafted with pen & paper or other physical means",3
USA,4.0,Analyst,Data visualization is the focus of my job,"Business Intelligence Tools (like Tableau), Interactive Notebooks, General purpose charting libraries (plotly, highcharts), Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",6
USA,15.0,"Leadership (Manager, Director, VP, etc)",Data visualization is the focus of my job,Business Intelligence Tools (like Tableau),7
Spain,10.0,Designer,"Data visualization is an important secondary part of my job, but not the focus",,
USA,,Scientist,"Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role","Interactive Notebooks, General purpose charting libraries (plotly, highcharts), Completely custom (matplotlib, ggplot2, Processing, D3, custom code), QGIS & Esri products for geospatial tasks",5
USA,10.0,Analyst,"Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role","Business Intelligence Tools (like Tableau), Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",6
France,4.0,None of these describe my role,Data visualization is the focus of my job,,
USA,5.0,"Leadership (Manager, Director, VP, etc)","Data visualization is an important secondary part of my job, but not the focus","Business Intelligence Tools (like Tableau), Interactive Notebooks, Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",5
Australia,25.0,Developer,"Data visualization is an important secondary part of my job, but not the focus","Business Intelligence Tools (like Tableau), Interactive Notebooks, General purpose charting libraries (plotly, highcharts), Completely custom (matplotlib, ggplot2, Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator)",5
Spain,,"Leadership (Manager, Director, VP, etc)","Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role","Business Intelligence Tools (like Tableau), Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",4
United Kingdom,10.0,Developer,"Data visualization is an important secondary part of my job, but not the focus",Business Intelligence Tools (like Tableau),7
United Kingdom,,Analyst,"Data visualization is an important secondary part of my job, but not the focus",,
Scotland,2.0,Designer,"Data visualization is an important secondary part of my job, but not the focus",Excel I think ,4
Nigeria,9.0,Academic,"Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role","Hand-crafted in a graphics editor (Illustrator), Hand-crafted with pen & paper or other physical means",4
United Kingdom,3.0,Analyst,"Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role","General purpose charting libraries (plotly, highcharts), Completely custom (matplotlib, ggplot2, Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator)",
Netherlands,5.0,Analyst,Data visualization is the focus of my job,"Business Intelligence Tools (like Tableau), Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",5
China,10.0,"Leadership (Manager, Director, VP, etc)","Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role","Completely custom (matplotlib, ggplot2, Processing, D3, custom code), Hand-crafted with pen & paper or other physical means",3
United Kingdom,,Designer,Data visualization is the focus of my job,"Hand-crafted in a graphics editor (Illustrator), Hand-crafted with pen & paper or other physical means",
Tanzania,2.0,Analyst,"Data visualization is an important secondary part of my job, but not the focus",Hand-crafted in a graphics editor (Illustrator),7
USA,4.0,Engineer,"Data visualization is an important secondary part of my job, but not the focus","Business Intelligence Tools (like Tableau), Interactive Notebooks, General purpose charting libraries (plotly, highcharts), Completely custom (matplotlib, ggplot2, Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator)",7
Mexico,4.0,"Leadership (Manager, Director, VP, etc)","Data visualization is an important secondary part of my job, but not the focus","Business Intelligence Tools (like Tableau), Interactive Notebooks, General purpose charting libraries (plotly, highcharts), Completely custom (matplotlib, ggplot2, Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator), Hand-crafted with pen & paper or other physical means",2
Spain,3.0,Academic,"Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role","Interactive Notebooks, General purpose charting libraries (plotly, highcharts), Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",2
Mexico,10.0,"Leadership (Manager, Director, VP, etc)",Data visualization is the focus of my job,Business Intelligence Tools (like Tableau),7
USA,25.0,None of these describe my role,Data visualization is the focus of my job,"Completely custom (matplotlib, ggplot2, Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator)",7
Sweden,3.0,None of these describe my role,Data visualization is the focus of my job,"Completely custom (matplotlib, ggplot2, Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator)",7
USA,2.0,Designer,"Data visualization is an important secondary part of my job, but not the focus","Business Intelligence Tools (like Tableau) Charts, General purpose charting libraries (plotly, highcharts), Completely custom (matplotlib, ggplot2, Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator)",6
USA,10.0,Developer,,"Business Intelligence Tools (like Tableau), Completely custom (matplotlib, ggplot2, Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator)",5
Not specified,4.0,Developer,Data visualization is the focus of my job,"General purpose charting libraries (plotly, highcharts), Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",5
USA,20.0,Engineer,"Data visualization is an important secondary part of my job, but not the focus","General purpose charting libraries (plotly, highcharts), Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",3
